id,identifier,height,weight,base_experience,order,is_default,flavor_text
250,ho-oh,38,1990,306,292,1,"Legends claim this
POKéMON flies the
world's skies con­tinuously on its
magnificent seven-
colored wings."
251,celebi,6,50,270,293,1,"This POKéMON wan­
ders across time.
Grass and treesflourish in the
forests in which
it has appeared."
252,treecko,5,50,62,294,1,"TREECKO has small hooks on the bottom
of its feet that enable it to scale
vertical walls.This POKéMON attacks by slamming foes
with its thick tail."
253,grovyle,9,216,142,295,1,"The leaves growing out of GROVYLE’s
body are convenient for camouflaging
it from enemies in the forest.This POKéMON is a master at climbing
trees in jungles."
254,sceptile,17,522,239,296,1,"The leaves growing on SCEPTILE’s body
are very sharp edged. This POKéMON is
very agile - it leaps all over thebranches of trees and jumps on its foe
from above or behind."
255,torchic,4,25,62,297,1,"TORCHIC sticks with its TRAINER,
following behind with unsteady
steps.This POKéMON breathes fire of over
1,800 degrees F, including fireballs
that leave the foe scorched black."
256,combusken,9,195,142,298,1,"COMBUSKEN toughens up its legs and
thighs by running through fields and
mountains.This POKéMON’s legs possess both speed
and power, enabling it to dole out ten
kicks in one second."
257,blaziken,19,520,239,299,1,"In battle, BLAZIKEN blows out intense
flames from its wrists and attacks foes
courageously.The stronger the foe, the more
intensely this POKéMON’s wrists burn."
258,mudkip,4,76,62,301,1,"The fin on MUDKIP’s head acts as highly
sensitive radar. Using this fin to sense
movements of water and air, thisPOKéMON can determine what is taking
place around it without using its eyes."
259,marshtomp,7,280,142,302,1,"The surface of MARSHTOMP’s body is
enveloped by a thin, sticky film that
enables it to live on land.This POKéMON plays in mud on beaches
when the ocean tide is low."
260,swampert,15,819,241,303,1,"SWAMPERT is very strong. It has enough
power to easily drag a boulder weighing
more than a ton.This POKéMON also has powerful vision
that lets it see even in murky water."
261,poochyena,5,136,44,304,1,"At first sight, POOCHYENA takes a bite
at anything that moves.
This POKéMON chases after prey untilthe victim becomes exhausted.
However, it may turn tail if the prey
strikes back."
262,mightyena,10,370,147,305,1,"MIGHTYENA gives obvious signals when
it is preparing to attack. It starts to
growl deeply and then flattens its body.This POKéMON will bite savagely with its
sharply pointed fangs."
263,zigzagoon,4,175,48,306,1,"ZIGZAGOON restlessly wanders
everywhere at all times. This POKéMON
does so because it is very curious.It becomes interested in anything
that it happens to see."
264,linoone,5,325,147,307,1,"LINOONE always runs full speed and only
in straight lines. If facing an obstacle,
it makes a right-angle turn to evade it.This POKéMON is very challenged by
gently curving roads."
265,wurmple,3,36,39,308,1,"Using the spikes on its rear end,
WURMPLE peels the bark off trees and
feeds on the sap that oozes out.This POKéMON’s feet are tipped with
suction pads that allow it to cling to
glass without slipping."
266,silcoon,6,100,72,309,1,"SILCOON tethers itself to a tree branch
using silk to keep from falling. There,
this POKéMON hangs quietly while itawaits evolution.
It peers out of the silk cocoon through
a small hole."
267,beautifly,10,284,173,310,1,"BEAUTIFLY’s favorite food is the sweet
pollen of flowers. If you want to see
this POKéMON, just leave a pottedflower by an open window. BEAUTIFLY
is sure to come looking for pollen."
268,cascoon,7,115,41,311,1,"CASCOON makes its protective cocoon
by wrapping its body entirely with a
fine silk from its mouth. Once the silkgoes around its body, it hardens.
This POKéMON prepares for its evolution
inside the cocoon."
269,dustox,12,316,135,312,1,"DUSTOX is instinctively drawn to light.
Swarms of this POKéMON are attracted
by the bright lights of cities, wherethey wreak havoc by stripping the
leaves off roadside trees for food."
270,lotad,5,26,44,313,1,"LOTAD live in ponds and lakes, where
they float on the surface.
It grows weak if its broad leaf dies.On rare occasions, this POKéMON travels
on land in search of clean water."
271,lombre,12,325,119,314,1,"LOMBRE is nocturnal - it will get active
after dusk. It is also a mischief-maker.
When this POKéMON spots anglers,it tugs on their fishing lines from
beneath the surface and enjoys their
consternation."
272,ludicolo,15,550,216,315,1,"LUDICOLO begins dancing as soon as
it hears cheerful, festive music.
This POKéMON is said to appear when ithears the singing of children on hiking
outings."
273,seedot,5,40,44,316,1,"SEEDOT attaches itself to a tree
branch using the top of its head.
It sucks moisture from the tree whilehanging off the branch.
The more water it drinks, the glossier
this POKéMON’s body becomes."
274,nuzleaf,10,280,119,317,1,"NUZLEAF live in densely overgrown
forests. They occasionally venture out
of the forest to startle people.This POKéMON dislikes having its long
nose pinched."
275,shiftry,13,596,216,318,1,"SHIFTRY is a mysterious POKéMON that
is said to live atop towering trees
dating back over a thousand years.It creates terrific windstorms with
the fans it holds."
276,taillow,3,23,54,319,1,"TAILLOW courageously stands its
ground against foes, however strong
they may be.This gutsy POKéMON will remain defiant
even after a loss. On the other hand,
it cries loudly if it becomes hungry."
277,swellow,7,198,151,320,1,"SWELLOW flies high above our heads,
making graceful arcs in the sky.
This POKéMON dives at a steep angle assoon as it spots its prey. The hapless
prey is tightly grasped by SWELLOW’s
clawed feet, preventing escape."
278,wingull,6,95,54,321,1,"WINGULL has the habit of carrying prey
and valuables in its beak and hiding
them in all sorts of locations.This POKéMON rides the winds and flies
as if it were skating across the sky."
279,pelipper,12,280,151,322,1,"PELIPPER is a flying transporter that
carries small POKéMON and eggs inside
its massive bill.This POKéMON builds its nest on steep
cliffs facing the sea."
280,ralts,4,66,40,323,1,"RALTS senses the emotions of
people using the horns on its head.
This POKéMON rarely appears beforepeople. But when it does, it draws
closer if it senses that the person has
a positive disposition."
281,kirlia,8,202,97,324,1,"It is said that a KIRLIA that is
exposed to the positive emotions of
its TRAINER grows beautiful.This POKéMON controls psychokinetic
powers with its highly developed brain."
282,gardevoir,16,484,233,325,1,"GARDEVOIR has the ability to read the
future. If it senses impending danger
to its TRAINER, this POKéMON is said tounleash its psychokinetic energy at
full power."
283,surskit,5,17,54,328,1,"From the tips of its feet, SURSKIT
secretes an oil that enables it to walk
on water as if it were skating.This POKéMON feeds on microscopic
organisms in ponds and lakes."
284,masquerain,8,36,145,329,1,"MASQUERAIN intimidates enemies with
the eyelike patterns on its antennas.
This POKéMON flaps its four wings tofreely fly in any direction - even
sideways and backwards - as if it were
a helicopter."
285,shroomish,4,45,59,330,1,"SHROOMISH live in damp soil in the dark
depths of forests. They are often
found keeping still under fallen leaves.This POKéMON feeds on compost that
is made up of fallen, rotted leaves."
286,breloom,12,392,161,331,1,"BRELOOM closes in on its foe with light
and sprightly footwork, then throws
punches with its stretchy arms.This POKéMON’s fighting technique puts
boxers to shame."
287,slakoth,8,240,56,332,1,"SLAKOTH lolls around for over twenty
hours every day. Because it moves so
little, it does not need much food.This POKéMON’s sole daily meal consists
of just three leaves."
288,vigoroth,14,465,154,333,1,"VIGOROTH is always itching and agitated
to go on a wild rampage. It simply can’t
tolerate sitting still for even a minute.This POKéMON’s stress level rises if it
can’t be moving constantly."
289,slaking,20,1305,252,334,1,"SLAKING spends all day lying down and
lolling about.
It eats grass growing within its reach.If it eats all the grass it can reach,
this POKéMON reluctantly moves to
another spot."
290,nincada,5,55,53,335,1,"NINCADA lives underground for many
years in complete darkness.
This POKéMON absorbs nutrients fromthe roots of trees. It stays motionless
as it waits for evolution."
291,ninjask,8,120,160,336,1,"NINJASK moves around at such a high
speed that it cannot be seen, even
while its crying can be clearly heard.For that reason, this POKéMON was long
believed to be invisible."
292,shedinja,8,12,83,337,1,"SHEDINJA’s hard body doesn’t move -
not even a twitch. In fact, its body
appears to be merely a hollow shell.It is believed that this POKéMON will
steal the spirit of anyone peering into
its hollow body from its back."
293,whismur,6,163,48,338,1,"Normally, WHISMUR’s voice is very quiet -
it is barely audible even if one is
paying close attention.However, if this POKéMON senses danger,
it starts crying at an earsplitting
volume."
294,loudred,10,405,126,339,1,"LOUDRED’s bellowing can completely
decimate a wood-frame house. It uses
its voice to punish its foes.This POKéMON’s round ears serve as
loudspeakers."
295,exploud,15,840,216,340,1,"EXPLOUD triggers earthquakes with the
tremors it creates by bellowing. If this
POKéMON violently inhales from theports on its body, it’s a sign that it is
preparing to let loose a huge bellow."
296,makuhita,10,864,47,341,1,"MAKUHITA is tenacious - it will keep
getting up and attacking its foe
however many times it is knocked down.Every time it gets back up, this
POKéMON stores more energy in its body
for evolving."
297,hariyama,23,2538,166,342,1,"HARIYAMA practices its straight-arm
slaps in any number of locations.
One hit of this POKéMON’s powerful,openhanded, straight-arm punches
could snap a telephone pole in two."
298,azurill,2,20,38,225,1,"AZURILL spins its tail as if it were a
lasso, then hurls it far. The momentum
of the throw sends its body flying, too.Using this unique action, one of these
POKéMON managed to hurl itself a record
33 feet."
299,nosepass,10,970,75,343,1,"NOSEPASS’s magnetic nose is always
pointed to the north. If two of these
POKéMON meet, they cannot turntheir faces to each other when they
are close because their magnetic noses
repel one another."
300,skitty,6,110,52,345,1,"SKITTY has the habit of becoming
fascinated by moving objects and
chasing them around.This POKéMON is known to chase after
its own tail and become dizzy."
301,delcatty,11,326,133,346,1,"DELCATTY prefers to live an unfettered
existence in which it can do as it
pleases at its own pace.Because this POKéMON eats and sleeps
whenever it decides, its daily routines
are completely random."
302,sableye,5,110,133,347,1,"SABLEYE lead quiet lives deep inside
caverns. They are feared, however,
because these POKéMON are thought tosteal the spirits of people when their
eyes burn with a sinister glow in the
darkness."
303,mawile,6,115,133,348,1,"MAWHILE’s huge jaws are actually steel
horns that have been transformed.
Its docile-looking face serves to lullits foe into letting down its guard.
When the foe least expects it, MAWHILE
chomps it with its gaping jaws."
304,aron,4,600,66,350,1,"This POKéMON has a body of steel.
To make its body, ARON feeds on
iron ore that it digs from mountains.Occasionally, it causes major trouble by
eating bridges and rails."
305,lairon,9,1200,151,351,1,"LAIRON tempers its steel body by
drinking highly nutritious mineral
springwater until it is bloated.This POKéMON makes its nest close to
springs of delicious water."
306,aggron,21,3600,239,352,1,"AGGRON claims an entire mountain as its
own territory. It mercilessly beats up
anything that violates its environment.This POKéMON vigilantly patrols its
territory at all times."
307,meditite,6,112,56,354,1,"MEDITITE undertakes rigorous mental
training deep in the mountains.
However, whenever it meditates, thisPOKéMON always loses its concentration
and focus. As a result, its training
never ends."
308,medicham,13,315,144,355,1,"It is said that through meditation,
MEDICHAM heightens energy inside
its body and sharpens its sixth sense.This POKéMON hides its presence by
merging itself with fields and
mountains."
309,electrike,6,152,59,357,1,"ELECTRIKE stores electricity in its
long body hair. This POKéMON stimulates
its leg muscles with electric charges.These jolts of power give its legs
explosive acceleration performance."
310,manectric,15,402,166,358,1,"MANECTRIC is constantly discharging
electricity from its mane. The sparks
sometimes ignite forest fires.When it enters a battle, this POKéMON
creates thunderclouds."
311,plusle,4,42,142,360,1,"PLUSLE always acts as a cheerleader
for its partners. Whenever a teammate
puts out a good effort in battle, thisPOKéMON shorts out its body to create
the crackling noises of sparks to show
its joy."
312,minun,4,42,142,361,1,"MINUN is more concerned about cheering
on its partners than its own safety.
It shorts out the electricity in itsbody to create brilliant showers of
sparks to cheer on its teammates."
313,volbeat,7,177,140,362,1,"With the arrival of night, VOLBEAT emits
light from its tail. It communicates with
others by adjusting the intensity andflashing of its light.
This POKéMON is attracted by the sweet
aroma of ILLUMISE."
314,illumise,6,177,140,363,1,"ILLUMISE attracts a swarm of VOLBEAT
using a sweet fragrance. Once the
VOLBEAT have gathered, this POKéMONleads the lit-up swarm in drawing
geometric designs on the canvas of
the night sky."
315,roselia,3,20,140,365,1,"ROSELIA shoots sharp thorns as
projectiles at any opponent that tries
to steal the flowers on its arms.The aroma of this POKéMON brings
serenity to living things."
316,gulpin,4,103,60,367,1,"Virtually all of GULPIN’s body is its
stomach. As a result, it can swallow
something its own size.This POKéMON’s stomach contains a
special fluid that digests anything."
317,swalot,17,800,163,368,1,"When SWALOT spots prey, it spurts out
a hideously toxic fluid from its pores
and sprays the target.Once the prey has weakened, this
POKéMON gulps it down whole with its
cavernous mouth."
318,carvanha,8,208,61,369,1,"CARVANHA’s strongly developed jaws
and its sharply pointed fangs pack the
destructive power to rip out boat hulls.Many boats have been attacked and
sunk by this POKéMON."
319,sharpedo,18,888,161,370,1,"Nicknamed “the bully of the sea,”
SHARPEDO is widely feared.
Its cruel fangs grow back immediatelyif they snap off.
Just one of these POKéMON can
thoroughly tear apart a supertanker."
320,wailmer,20,1300,80,371,1,"WAILMER’s nostrils are located above
its eyes. This playful POKéMON loves
to startle people by forcefully snortingout seawater it stores inside its body
out of its nostrils."
321,wailord,145,3980,175,372,1,"WAILORD is the largest of all identified
POKéMON up to now.
This giant POKéMON swims languorouslyin the vast open sea, eating massive
amounts of food at once with its
enormous mouth."
322,numel,7,240,61,373,1,"NUMEL is extremely dull witted - it
doesn’t notice being hit. However, it
can’t stand hunger for even a second.This POKéMON’s body is a seething
cauldron of boiling magma."
323,camerupt,19,2200,161,374,1,"CAMERUPT has a volcano inside its body.
Magma of 18,000 degrees F courses
through its body.Occasionally, the humps on this
POKéMON’s back erupt, spewing the
superheated magma."
324,torkoal,5,804,165,375,1,"TORKOAL digs through mountains in
search of coal. If it finds some, it fills
hollow spaces on its shell with the coaland burns it.
If it is attacked, this POKéMON spouts
thick black smoke to beat a retreat."
325,spoink,7,306,66,376,1,"SPOINK bounces around on its tail.
The shock of its bouncing makes its
heart pump. As a result, this POKéMONcannot afford to stop bouncing - if it
stops, its heart will stop."
326,grumpig,9,715,165,377,1,"GRUMPIG uses the black pearls on its
body to amplify its psychic power waves
for gaining total control over its foe.When this POKéMON uses its special
power, its snorting breath grows
labored."
327,spinda,11,50,126,378,1,"All the SPINDA that exist in the
world are said to have utterly unique
spot patterns.The shaky, tottering steps of this
POKéMON give it the appearance of
dancing."
328,trapinch,7,150,58,379,1,"TRAPINCH’s nest is a sloped, bowl-like
pit dug in sand. This POKéMON patiently
waits for prey to tumble down the pit.Its giant jaws have enough strength
to crush even boulders."
329,vibrava,11,153,119,380,1,"To make prey faint, VIBRAVA generates
ultrasonic waves by vigorously making
its two wings vibrate.This POKéMON’s ultrasonic waves are so
powerful, they can bring on headaches
in people."
330,flygon,20,820,234,381,1,"FLYGON is nicknamed “the elemental
spirit of the desert.” Because its
flapping wings whip up a cloud of sand,this POKéMON is always enveloped in a
sandstorm while flying."
331,cacnea,4,513,67,382,1,"CACNEA lives in arid locations such
as deserts. It releases a strong aroma
from its flower to attract prey.When prey comes near, this POKéMON
shoots sharp thorns from its body to
bring the victim down."
332,cacturne,13,774,166,383,1,"During the daytime, CACTURNE remains
unmoving so that it does not lose any
moisture to the harsh desert sun.This POKéMON becomes active at night
when the temperature drops."
333,swablu,4,12,62,384,1,"SWABLU has light and fluffy wings that
are like cottony clouds. This POKéMON
is not frightened of people.It lands on the heads of people and
sits there like a cotton-fluff hat."
334,altaria,11,206,172,385,1,"ALTARIA dances and wheels through the
sky among billowing, cotton-like clouds.
By singing melodies in its crystal-clearvoice, this POKéMON makes its listeners
experience dreamy wonderment."
335,zangoose,13,403,160,386,1,"Memories of battling its arch-rival
SEVIPER are etched into every cell of
ZANGOOSE’s body.This POKéMON adroitly dodges attacks
with incredible agility."
336,seviper,27,525,160,387,1,"SEVIPER shares a generations-long
feud with ZANGOOSE. The scars on its
body are evidence of vicious battles.This POKéMON attacks using its sword-
edged tail."
337,lunatone,10,1680,154,388,1,"LUNATONE was discovered at a location
where a meteorite fell. As a result, some
people theorize that this POKéMONcame from space. However, no one has
been able to prove this theory so far."
338,solrock,12,1540,154,389,1,"SOLROCK is a new species of POKéMON
that is said to have fallen from space.
It floats in air and moves silently.In battle, this POKéMON releases
intensely bright light."
339,barboach,4,19,58,390,1,"BARBOACH’s sensitive whiskers serve
as a superb radar system.
This POKéMON hides in mud, leaving onlyits two whiskers exposed while it waits
for prey to come along."
340,whiscash,9,236,164,391,1,"WHISCASH is extremely territorial.
Just one of these POKéMON will claim a
large pond as its exclusive territory.If a foe approaches it, it thrashes
about and triggers a massive
earthquake."
341,corphish,6,115,62,392,1,"CORPHISH were originally foreign
POKéMON that were imported as pets.
They eventually turned up in the wild.This POKéMON is very hardy and has
greatly increased its population."
342,crawdaunt,11,328,164,393,1,"CRAWDAUNT has an extremely violent
nature that compels it to challenge
other living things to battle.Other life-forms refuse to live in
ponds inhabited by this POKéMON,
making them desolate places."
343,baltoy,5,215,60,394,1,"BALTOY moves while spinning around on
its one foot. Primitive wall paintings
depicting this POKéMON living amongpeople were discovered in some ancient
ruins."
344,claydol,15,1080,175,395,1,"CLAYDOL are said to be dolls of mud made
by primitive humans and brought to life
by exposure to a mysterious ray.This POKéMON moves about while
levitating."
345,lileep,10,238,71,396,1,"LILEEP became extinct approximately
a hundred million years ago.
This ancient POKéMON attaches itselfto a rock on the seafloor and catches
approaching prey using tentacles
shaped like flower petals."
346,cradily,15,604,173,397,1,"CRADILY roams around the ocean floor
in search of food. This POKéMON freely
extends its tree trunk-like neck andcaptures unwary prey using its eight
tentacles."
347,anorith,7,125,71,398,1,"ANORITH was regenerated from a
prehistoric fossil. This primitive
POKéMON once lived in warm seas.It grips its prey firmly between its
two large claws."
348,armaldo,15,682,173,399,1,"ARMALDO’s tough armor makes all attacks
bounce off. This POKéMON’s two
enormous claws can be freely extendedor contracted. They have the power to
punch right through a steel slab."
349,feebas,6,74,40,400,1,"FEEBAS’s fins are ragged and
tattered from the start of its life.
Because of its shoddy appearance, thisPOKéMON is largely ignored.
It is capable of living in both the sea
and in rivers."
350,milotic,62,1620,189,401,1,"MILOTIC is said to be the most
beautiful of all the POKéMON.
It has the power to becalm suchemotions as anger and hostility to quell
bitter feuding."
351,castform,3,8,147,402,1,"CASTFORM’s appearance changes with
the weather.
This POKéMON gained the ability to usethe vast power of nature to protect
its tiny body."
352,kecleon,10,220,154,406,1,"KECLEON is capable of changing its body
colors at will to blend in with its
surroundings.There is one exception - this POKéMON
can’t change the zigzag pattern on its
belly."
353,shuppet,6,23,59,407,1,"SHUPPET is attracted by feelings
of jealousy and vindictiveness.
If someone develops strong feelings ofvengeance, this POKéMON will appear
in a swarm and line up beneath the eaves
of that person’s home."
354,banette,11,125,159,408,1,"BANETTE generates energy for laying
strong curses by sticking pins into its
own body.This POKéMON was originally a pitiful
plush doll that was thrown away."
355,duskull,8,150,59,410,1,"DUSKULL can pass through any wall no
matter how thick it may be.
Once this POKéMON chooses a target,it will doggedly pursue the intended
victim until the break of dawn."
356,dusclops,16,306,159,411,1,"DUSCLOPS’s body is completely hollow -
there is nothing at all inside.
It is said that its body is like a blackhole. This POKéMON will absorb anything
into its body, but nothing will ever come
back out."
357,tropius,20,1000,161,413,1,"The bunches of fruit around TROPIUS’s
neck are very popular with children.
This POKéMON loves fruit, and eats itcontinuously. Apparently, its love for
fruit resulted in its own outgrowth
of fruit."
358,chimecho,6,10,149,415,1,"CHIMECHO makes its cries echo
inside its hollow body. When this
POKéMON becomes enraged, its criesresult in ultrasonic waves that have
the power to knock foes flying."
359,absol,12,470,163,416,1,"Every time ABSOL appears before people,
it is followed by a disaster such as an
earthquake or a tidal wave.As a result, it came to be known as the
disaster POKéMON."
360,wynaut,6,140,52,246,1,"WYNAUT can always be seen with a big,
happy smile on its face. Look at its tail
to determine if it is angry.When angered, this POKéMON will be
slapping the ground with its tail."
361,snorunt,7,168,60,418,1,"SNORUNT live in regions with heavy
snowfall. In seasons without snow, such
as spring and summer, this POKéMONsteals away to live quietly among
stalactites and stalagmites deep in
caverns."
362,glalie,15,2565,168,419,1,"GLALIE has a body made of rock, which it
hardens with an armor of ice.
This POKéMON has the ability to freezemoisture in the atmosphere into any
shape it desires."
363,spheal,8,395,58,421,1,"SPHEAL is much faster rolling than
walking to get around. When groups of
this POKéMON eat, they all clap at onceto show their pleasure. Because of this,
their mealtimes are noisy."
364,sealeo,11,876,144,422,1,"SEALEO has the habit of always juggling
on the tip of its nose anything it sees
for the first time.This POKéMON occasionally entertains
itself by balancing and rolling a SPHEAL
on its nose."
365,walrein,14,1506,239,423,1,"WALREIN’s two massively developed
tusks can totally shatter blocks of
ice weighing ten tons with one blow.This POKéMON’s thick coat of blubber
insulates it from subzero temperatures."
366,clamperl,4,525,69,424,1,"CLAMPERL’s sturdy shell is not only good
for protection - it is also used for
clamping and catching prey.A fully grown CLAMPERL’s shell will be
scored with nicks and scratches all
over."
367,huntail,17,270,170,425,1,"HUNTAIL’s presence went unnoticed by
people for a long time because it lives
at extreme depths in the sea.This POKéMON’s eyes can see clearly
even in the murky dark depths of the
ocean."
368,gorebyss,18,226,170,426,1,"GOREBYSS lives in the southern seas
at extreme depths. Its body is built to
withstand the enormous pressure ofwater at incredible depths. Because of
this, this POKéMON’s body is unharmed
by ordinary attacks."
369,relicanth,10,234,170,427,1,"RELICANTH is a POKéMON species that
existed for a hundred million years
without ever changing its form.This ancient POKéMON feeds on
microscopic organisms with its
toothless mouth."
370,luvdisc,6,87,116,428,1,"LUVDISC live in shallow seas in the
tropics. This heart-shaped POKéMON
earned its name by swimming afterloving couples it spotted in the
ocean’s waves."
371,bagon,6,421,60,429,1,"BAGON has a dream of one day soaring
in the sky. In doomed efforts to fly,
this POKéMON hurls itself off cliffs.As a result of its dives, its head has
grown tough and as hard as tempered
steel."
372,shelgon,11,1105,147,430,1,"Inside SHELGON’s armor-like shell, cells
are in the midst of transformation
to create an entirely new body.This POKéMON’s shell is extremely heavy,
making its movements sluggish."
373,salamence,15,1026,270,431,1,"SALAMENCE came about as a result of a
strong, long-held dream of growing
wings. It is said that this powerfuldesire triggered a sudden mutation in
this POKéMON’s cells, causing it to
sprout its magnificent wings."
374,beldum,6,952,60,432,1,"Instead of blood, a powerful magnetic
force courses throughout BELDUM’s
body. This POKéMON communicates withothers by sending controlled pulses of
magnetism."
375,metang,12,2025,147,433,1,"When two BELDUM fuse together, METANG
is formed. The brains of the BELDUM are
joined by a magnetic nervous system.By linking its brains magnetically,
this POKéMON generates strong
psychokinetic power."
376,metagross,16,5500,270,434,1,"METAGROSS has four brains in total.
Combined, the four brains can breeze
through difficult calculations fasterthan a supercomputer.
This POKéMON can float in the air by
tucking in its four legs."
377,regirock,17,2300,261,435,1,"REGIROCK was sealed away by people
long ago. If this POKéMON’s body is
damaged in battle, it is said to seekout suitable rocks on its own to repair
itself."
378,regice,18,1750,261,436,1,"REGICE’s body was made during an ice
age. The deep-frozen body can’t be
melted, even by fire.This POKéMON controls frigid air of
minus 328 degrees F."
379,registeel,19,2050,261,437,1,"REGISTEEL has a body that is harder
than any kind of metal.
Its body is apparently hollow.No one has any idea what this POKéMON
eats."
380,latias,14,400,270,438,1,"LATIAS is highly sensitive to the
emotions of people. If it senses any
hostility, this POKéMON ruffles thefeathers all over its body and cries
shrilly to intimidate the foe."
381,latios,20,600,270,439,1,"LATIOS has the ability to make its foe
see an image of what it has seen or
imagines in its head.This POKéMON is intelligent and
understands human speech."
382,kyogre,45,3520,302,440,1,"KYOGRE has the power to create massive
rain clouds that cover the entire sky
and bring about torrential downpours.This POKéMON saved people who were
suffering from droughts."
383,groudon,35,9500,302,441,1,"GROUDON has long been described in
mythology as the POKéMON that raised
lands and expanded continents.This POKéMON took to sleep after a
cataclysmic battle with KYOGRE."
384,rayquaza,70,2065,306,442,1,"RAYQUAZA lived for hundreds of millions
of years in the earth’s ozone layer,
never descending to the ground.This POKéMON appears to feed on water
and particles in the atmosphere."
385,jirachi,3,11,270,443,1,"A legend states that JIRACHI will make
true any wish that is written on notes
attached to its head when it awakens.If this POKéMON senses danger, it will
fight without awakening."
386,deoxys-normal,17,608,270,444,1,"The DNA of a space virus underwent a
sudden mutation upon exposure to a
laser beam and resulted in DEOXYS.The crystalline organ on this POKéMON’s
chest appears to be its brain."
387,turtwig,4,102,64,448,1,"Made from soil, the shell on its
back hardens when it drinks water.
It lives along lakes."
388,grotle,11,970,142,449,1,"It lives along water in forests. In
the daytime, it leaves the forest
to sunbathe its treed shell."
389,torterra,22,3100,236,450,1,"Small Pokémon occasionally gather
on its unmoving back to begin
building their nests."
390,chimchar,5,62,62,451,1,"It agilely scales sheer cliffs to
live atop craggy mountains. Its
fire is put out when it sleeps."
391,monferno,9,220,142,452,1,"To intimidate attackers, it
stretches the fire on its tail
to make itself appear bigger."
392,infernape,12,550,240,453,1,"It uses a special kind of martial
arts involving all its limbs.
Its fire never goes out."
393,piplup,4,52,63,454,1,"Because it is very proud, it hates
accepting food from people. Its
thick down guards it from cold."
394,prinplup,8,230,142,455,1,"It lives alone, away from others.
Apparently, every one of them
believes it is the most important."
395,empoleon,17,845,239,456,1,"The three horns that extend from
its beak attest to its power. The
leader has the biggest horns."
396,starly,3,20,49,457,1,"They flock in great numbers.
Though small, they flap their
wings with great power."
397,staravia,6,155,119,458,1,"It flies around forests and fields
in search of bug Pokémon.
It stays within a huge flock."
398,staraptor,12,249,214,459,1,"It has a savage nature. It will
courageously challenge foes that
are much larger."
399,bidoof,5,200,50,460,1,"With nerves of steel, nothing can
perturb it. It is more agile and
active than it appears."
400,bibarel,10,315,144,461,1,"It makes its nest by damming
streams with bark and mud. It is
known as an industrious worker."
401,kricketot,3,22,39,462,1,"It shakes its head back to front,
causing its antennae to hit each
other and sound like a xylophone."
402,kricketune,10,255,134,463,1,"It crosses its knifelike arms in
front of its chest when it cries.
It can compose melodies ad lib."
403,shinx,5,95,53,464,1,"All of its fur dazzles if danger is
sensed. It flees while the foe is
momentarily blinded."
404,luxio,9,305,127,465,1,"Its claws loose electricity with
enough amperage to cause fainting.
They live in small groups."
405,luxray,14,420,235,466,1,"It has eyes that can see through
anything. It spots and captures
prey hiding behind objects."
406,budew,2,12,56,364,1,"Over the winter, it closes its bud
and endures the cold. In spring,
the bud opens and releases pollen."
407,roserade,9,145,227,366,1,"It attracts prey with a sweet
aroma, then downs it with
thorny whips hidden in its arms."
408,cranidos,9,315,70,467,1,"It lived in jungles around 100
million years ago. Its skull is as
hard as iron."
409,rampardos,16,1025,173,468,1,"Its powerful head butt has enough
power to shatter even the most
durable things upon impact."
410,shieldon,5,570,70,469,1,"A Pokémon that lived in jungles
around 100 million years ago. Its
facial hide is extremely hard."
411,bastiodon,13,1495,173,470,1,"Any frontal attack is repulsed.
It is a docile Pokémon that
feeds on grass and berries."
412,burmy,2,34,45,471,1,"To shelter itself from cold, wintry
winds, it covers itself with a cloak
made of twigs and leaves."
413,wormadam-plant,5,65,148,472,1,"When BURMY evolved, its cloak
became a part of this Pokémon’s
body. The cloak is never shed."
414,mothim,9,233,148,475,1,"It loves the honey of flowers
and steals honey collected by
COMBEE."
415,combee,3,55,49,476,1,"A Pokémon formed by three others.
It busily carries sweet floral
honey to VESPIQUEN."
416,vespiquen,12,385,166,477,1,"Its abdomen is a honeycomb for
grubs. It raises its grubs on
honey collected by COMBEE."
417,pachirisu,4,39,142,478,1,"It makes fur balls that crackle
with static electricity. It stores
them with berries in tree holes."
418,buizel,7,295,66,479,1,"It has a flotation sac that is
like an inflatable collar. It floats
on water with its head out."
419,floatzel,11,335,173,480,1,"It floats using its well-developed
flotation sac. It assists in the
rescues of drowning people."
420,cherubi,4,33,55,481,1,"The small ball holds the nutrients
needed for evolution. Apparently,
it is very sweet and tasty."
421,cherrim,5,93,158,482,1,"It blooms during times of strong
sunlight. It tries to make up for
everything it endured as a bud."
422,shellos,3,63,65,483,1,"Its colors and shapes differ from
region to region. In the Sinnoh
region, two types are confirmed."
423,gastrodon,9,299,166,484,1,"It has a pliable body without any
bones. If any part of its body is
torn off, it grows right back."
424,ambipom,12,203,169,234,1,"To eat, it deftly shucks nuts
with its two tails. It rarely uses
its arms now."
425,drifloon,4,12,70,485,1,"A Pokémon formed by the spirits
of people and Pokémon. It loves
damp, humid seasons."
426,drifblim,12,150,174,486,1,"It’s drowzy in daytime, but flies
off in the evening in big groups.
No one knows where they go."
427,buneary,4,55,70,487,1,"It slams foes by sharply uncoiling
its rolled ears. It stings enough
to make a grown-up cry in pain."
428,lopunny,12,333,168,488,1,"An extremely cautious Pokémon.
It cloaks its body with its fluffy
ear fur when it senses danger."
